item,itemLabel,elev
http://www.wikidata.org/entity/Q6819356,Meridian Peak,12432.0
http://www.wikidata.org/entity/Q6923776,Mount Spencer,12431.0
http://www.wikidata.org/entity/Q16841755,Big Sandy Mountain,12416.0
http://www.wikidata.org/entity/Q28056267,Mount Peal,12414.0
http://www.wikidata.org/entity/Q16902967,Warrior Peaks,12411.0
http://www.wikidata.org/entity/Q14680087,Kahiltna Dome,12411.0
http://www.wikidata.org/entity/Q28056268,Castle Rock Mountain,12406.0
http://www.wikidata.org/entity/Q14951373,Shale Mountain,12405.0
http://www.wikidata.org/entity/Q16891072,Mount Emmons,12401.0
http://www.wikidata.org/entity/Q18390267,Mather Peaks,12400.0
http://www.wikidata.org/entity/Q16898945,Pylon Peak,12383.0
http://www.wikidata.org/entity/Q14681885,Dunderberg Peak,12379.0
http://www.wikidata.org/entity/Q16902918,War Bonnet Peak,12374.0
http://www.wikidata.org/entity/Q5457814,Flat Top Mountain,12361.0
http://www.wikidata.org/entity/Q16896033,Mount Nystrom,12361.0
http://www.wikidata.org/entity/Q28056269,Bowback Mountain,12356.0
http://www.wikidata.org/entity/Q28057673,Beartooth Mountain,12356.0
http://www.wikidata.org/entity/Q5604143,Greenhorn Mountain,12352.0
http://www.wikidata.org/entity/Q14680143,Mount Crosson,12352.0
http://www.wikidata.org/entity/Q28056270,Mount Villard,12350.0
http://www.wikidata.org/entity/Q7428704,Sawtooth Peak,12348.0
http://www.wikidata.org/entity/Q14684480,Elliott Mountain,12346.0
http://www.wikidata.org/entity/Q3819422,デボラ山,12339.0
http://www.wikidata.org/entity/Q652800,Shastina,12335.0
http://www.wikidata.org/entity/Q16903001,Watch Tower,12331.0
http://www.wikidata.org/entity/Q7694616,Teewinot Mountain,12330.0
http://www.wikidata.org/entity/Q49029653,Flattop Mountain,12329.0
http://www.wikidata.org/entity/Q28056271,Mount Hague,12328.0
http://www.wikidata.org/entity/Q16858432,Cathedral Peak,12326.0
http://www.wikidata.org/entity/Q18208130,Bighorn Peak,12324.0
http://www.wikidata.org/entity/Q28056273,Glacier Peak,12320.0
http://www.wikidata.org/entity/Q3861626,ホプキンズ山,12313.0
