dataset_slug,dataset_name,metric_key,metric_name,unit,item_key,item_name,value
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16902966,Mount Washakie,12524
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q18394522,Washakie Needles,12523
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14685069,Ptarmigan Peak,12504
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q27962436,Kedarkantha,12500
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q49055123,Mount Watson,12497
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16835065,Atlantic Peak,12495
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14685105,Specimen Mountain,12494
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16962147,Dog Tooth Peak,12488
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16895262,Mitchell Peak (Wyoming),12482
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q28056266,Tempest Mountain,12474
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7164645,Penrose Peak,12461
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q18210109,Dome Mountain,12455
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q4850647,Baldy Mountain,12445
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684455,East Beckwith Mountain,12441
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q5460743,Florence Peak,12437
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q4918375,Bison Peak,12432
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6819356,Meridian Peak,12432
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6923776,Mount Spencer,12431
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16841755,Big Sandy Mountain,12416
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q28056267,Mount Peal,12414
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16902967,Warrior Peaks,12411
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14680087,Kahiltna Dome,12411
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q28056268,Castle Rock Mountain,12406
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14951373,Shale Mountain,12405
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16891072,Mount Emmons,12401
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q18390267,Mather Peaks,12400
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16898945,Pylon Peak,12383
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14681885,Dunderberg Peak,12379
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16902918,War Bonnet Peak,12374
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q5457814,Flat Top Mountain,12361
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16896033,Mount Nystrom,12361
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q28056269,Bowback Mountain,12356
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q28057673,Beartooth Mountain,12356
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q5604143,Greenhorn Mountain,12352
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14680143,Mount Crosson,12352
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q28056270,Mount Villard,12350
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7428704,Sawtooth Peak,12348
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684480,Elliott Mountain,12346
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q3819422,デボラ山,12339
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q652800,Shastina,12335
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16903001,Watch Tower,12331
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7694616,Teewinot Mountain,12330
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q49029653,Flattop Mountain,12329
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q28056271,Mount Hague,12328
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16858432,Cathedral Peak,12326
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q18208130,Bighorn Peak,12324
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q28056273,Glacier Peak,12320
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q3861626,ホプキンズ山,12313
